player_id,player_name,player_position,team_id,expected_assists,goals_scored,expected_goals_conceded,threat,influence,creativity,expected_goals,saves,goals_conceded,assists,ict_index,expected_goal_involvements,starts,minutes,total_points,clean_sheets
391,Joe Wormleighton,DEF,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
392,Kasey McAteer,MID,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
393,Victor Kristiansen,DEF,11,0.6,0,17.88,14.0,173.2,119.3,0.12,0,21,1,30.8,0.72,11,891,16,0
394,Mateus Cardoso Lemos Martins,MID,11,0.26,1,13.22,109.0,84.0,98.7,1.73,0,15,0,28.8,1.99,9,732,27,0
395,Harry Souttar,DEF,11,0.1,0,18.81,65.0,242.6,38.9,1.47,0,19,1,34.6,1.57,11,991,20,1
396,Wanya Marçal-Madivadua,MID,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
397,Liam Cooper,DEF,10,0.31,1,26.08,145.0,309.8,65.2,0.9,0,32,0,51.7,1.21,16,1425,31,2
398,Luke Ayling,DEF,10,2.24,2,42.12,264.0,451.8,209.3,2.93,0,48,1,92.8,5.17,22,2048,59,3
399,Mateusz Klich,MID,10,0.22,0,4.99,50.0,39.6,69.3,0.16,0,5,0,15.2,0.38,0,266,12,0
400,Adam Forshaw,MID,10,0.65,0,11.94,0.0,49.6,62.0,0.03,0,13,0,11.3,0.68,5,473,16,0
401,Rodrigo Moreno,MID,10,1.24,13,36.79,853.0,577.6,241.1,8.04,0,43,2,166.5,9.28,23,1928,127,5
402,Stuart Dallas,DEF,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
403,Patrick Bamford,FWD,10,0.9,4,27.99,588.0,252.2,171.6,8.51,0,31,5,99.6,9.41,18,1510,70,1
404,Diego Llorente,DEF,10,0.03,0,11.0,40.0,99.0,5.8,0.72,0,12,0,14.6,0.75,7,648,16,1
405,Tyler Roberts,MID,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
406,Robin Koch,DEF,10,0.47,0,63.02,201.0,589.2,72.9,1.59,0,74,0,86.3,2.06,36,3175,55,5
407,Raphael Dias Belloli,MID,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
408,Jack Harrison,MID,10,5.06,5,49.47,466.0,556.2,791.5,5.44,0,55,8,181.2,10.5,34,2707,134,6
409,Jamie Shackleton,MID,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
410,Pascal Struijk,DEF,10,1.2,2,42.41,253.0,544.4,216.2,1.35,0,52,2,101.5,2.55,26,2198,66,4
411,Kristoffer Klaesson,GKP,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
412,Sam Greenwood,FWD,10,1.06,1,11.8,85.0,121.8,210.5,0.69,0,11,2,41.6,1.75,3,410,30,0
413,Illan Meslier,GKP,10,0.01,0,57.06,17.0,738.6,0.0,0.12,94,67,0,75.9,0.13,34,3060,90,5
414,Junior Firpo Adames,DEF,10,0.75,1,29.81,41.0,286.0,123.4,0.12,0,33,2,45.0,0.87,14,1364,30,1
415,Crysencio Summerville,MID,10,1.11,4,28.93,357.0,311.8,222.6,2.83,0,38,4,88.6,3.94,12,1411,74,1
416,Lewis Bate,MID,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
417,Joe Gelhardt,FWD,10,0.4,0,2.79,114.0,49.4,32.1,0.84,0,3,2,19.4,1.24,1,201,20,0
418,Leo Fuhr Hjelde,DEF,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
419,Rasmus Kristensen,DEF,10,0.88,3,40.63,160.0,474.4,143.6,0.86,0,53,1,78.0,1.74,21,1957,51,2
420,Marc Roca Junqué,MID,10,2.49,1,46.6,323.0,433.6,475.8,2.1,0,60,3,123.1,4.59,29,2316,67,2
421,Brenden Aaronson,MID,10,2.51,1,48.74,439.0,306.0,662.6,3.98,0,58,4,141.1,6.49,28,2365,83,5
422,Darko Gyabi,MID,10,0.0,0,0.27,20.0,4.4,0.5,0.06,0,0,0,2.5,0.06,0,7,1,0
423,Tyler Adams,MID,10,1.05,0,32.69,24.0,393.6,328.9,0.11,0,36,0,74.9,1.16,24,2156,47,5
424,Luis Sinisterra Lucumí,MID,10,0.88,5,18.12,305.0,242.8,157.7,3.81,0,23,0,70.6,4.69,13,863,53,0
425,Cody Drameh,DEF,10,0.01,0,1.4,0.0,12.8,2.7,0.0,0,3,0,1.6,0.01,1,70,1,0
426,Archie Gray,MID,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
427,Joel Robles,GKP,10,0.01,0,9.16,0.0,93.2,0.0,0.0,16,11,0,9.3,0.01,4,360,7,0
428,Wilfried Gnonto,FWD,10,2.12,2,25.22,253.0,264.8,323.5,1.79,0,28,4,84.3,3.91,14,1346,55,4
429,Mateo Joseph Fernández,FWD,10,0.0,0,0.3,19.0,3.0,0.2,0.06,0,0,0,2.2,0.06,0,24,3,0
430,Sonny Perkins,FWD,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
431,Maximilian Wöber,DEF,10,0.37,0,22.73,54.0,273.4,65.8,0.77,0,23,0,39.5,1.14,14,1264,25,2
432,Georginio Rutter,FWD,10,0.23,0,5.68,41.0,36.2,38.3,0.41,0,9,1,11.4,0.64,1,263,15,0
433,Weston McKennie,MID,10,0.56,0,28.3,81.0,198.8,201.7,0.78,0,35,1,48.3,1.34,16,1434,31,1
434,Jeremiah Chilokoa-Mullen,DEF,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
435,Diogo Pinheiro Monteiro,DEF,10,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
436,James Milner,MID,12,1.63,0,13.56,92.0,172.8,207.2,0.4,0,12,1,47.2,2.03,7,889,42,3
437,Jordan Henderson,MID,12,3.59,0,31.96,174.0,307.4,506.1,1.35,0,30,3,99.1,4.93,23,2060,69,8
438,Joel Matip,DEF,12,0.93,1,16.46,90.0,223.4,49.5,0.87,0,20,0,36.2,1.8,12,1091,36,3
439,Thiago Alcántara do Nascimento,MID,12,1.18,0,21.41,86.0,244.4,265.8,0.46,0,23,0,59.8,1.64,14,1252,30,2
440,Alex Oxlade-Chamberlain,MID,12,0.18,1,6.64,84.0,72.4,66.3,1.27,0,7,0,22.3,1.45,4,332,20,0
441,Roberto Firmino,FWD,12,2.16,11,19.91,792.0,542.0,293.2,5.48,0,17,4,162.8,7.64,13,1202,104,4
442,Virgil van Dijk,DEF,12,1.09,3,41.17,389.0,743.2,121.0,2.5,0,36,1,125.4,3.59,32,2835,127,11
443,Alisson Ramses Becker,GKP,12,0.02,0,50.02,0.0,966.4,10.1,0.0,107,43,1,97.6,0.02,37,3330,162,14
444,Fabio Henrique Tavares,MID,12,1.87,0,39.21,109.0,379.2,302.0,0.7,0,34,2,79.0,2.57,31,2666,70,11
445,Mohamed Salah,MID,12,7.03,19,47.47,1620.0,1046.2,869.9,21.01,0,45,13,353.7,28.04,37,3290,239,13
